time,step,price,size,side,kind
2026-09-12T18:45:46,333,1000,5.61,buy,stop
2026-09-12T18:45:46,333,1001,8.79,buy,stop
2026-09-12T18:45:46,333,1002,5.620000000000001,buy,stop
2026-09-12T18:45:46,333,1002,8.5,buy,stop
2026-09-12T18:45:46,333,1002,16.33,buy,stop
2026-09-12T18:45:46,333,1002,10.71,buy,stop
2026-09-12T18:45:46,333,1002,11.190000000000005,buy,stop
2026-09-12T18:45:46,333,1003,4.869999999999994,buy,stop
2026-09-12T18:45:46,333,1003,12.710000000000004,buy,stop
2026-09-12T18:45:46,333,1004,1.7599999999999962,buy,stop
2026-09-12T18:45:46,333,1004,9.75,buy,stop
2026-09-12T18:45:46,333,1004,9.21,buy,stop
2026-09-12T18:45:46,333,1004,14.55,buy,stop
2026-09-12T18:45:46,333,1004,10.209999999999997,buy,stop
2026-09-12T18:45:46,333,1005,6.400000000000002,buy,stop
2026-09-12T18:45:46,333,1005,9.76,buy,stop
2026-09-12T18:45:46,336,1000,18.28,sell,market
2026-09-12T18:45:46,349,1000,12.44,sell,market
2026-09-12T18:45:46,350,1000,6.910000000000002,sell,market
2026-09-12T18:45:46,350,999,0.6099999999999977,sell,market
2026-09-12T18:45:46,355,999,19.85,sell,market
2026-09-12T18:45:46,355,1004,19.85,buy,stop
2026-09-12T18:45:46,367,999,19.94,sell,market
2026-09-12T18:45:46,371,999,13.359999999999996,sell,market
2026-09-12T18:45:46,371,998,2.940000000000005,sell,market
2026-09-12T18:45:46,373,998,10.42,sell,market
2026-09-12T18:45:46,379,1003,11.89,buy,market
2026-09-12T18:45:46,381,998,17.11,sell,market
2026-09-12T18:45:46,383,998,7.68,sell,market
2026-09-12T18:45:46,387,998,5.549999999999997,sell,market
2026-09-12T18:45:46,387,997,4.880000000000003,sell,market
2026-09-12T18:45:46,388,1002,18.93,buy,market
2026-09-12T18:45:46,388,997,18.93,sell,stop
2026-09-12T18:45:46,392,997,13.479999999999997,sell,market
2026-09-12T18:45:46,392,996,2.650000000000002,sell,market
2026-09-12T18:45:46,395,996,17.34,sell,market
2026-09-12T18:45:46,400,996,10.709999999999997,sell,market
2026-09-12T18:45:46,400,995,15.170000000000002,sell,market
2026-09-12T18:45:46,406,995,8.82,sell,market
2026-09-12T18:45:46,407,995,9.689999999999998,sell,market
2026-09-12T18:45:46,407,994,8.220000000000002,sell,market
2026-09-12T18:45:46,407,994,11.89,sell,stop
2026-09-12T18:45:46,408,994,10.8,sell,market
2026-09-12T18:45:46,409,994,12.02,sell,market
2026-09-12T18:45:46,411,994,2.809999999999995,sell,market
2026-09-12T18:45:46,411,993,9.090000000000005,sell,market
2026-09-12T18:45:46,412,998,14.45,buy,market
2026-09-12T18:45:46,413,993,18.81,sell,market
2026-09-12T18:45:46,414,998,17.24,buy,market
2026-09-12T18:45:46,416,993,18.08,sell,market
2026-09-12T18:45:46,416,998,6.1200000000000045,buy,stop
2026-09-12T18:45:46,416,999,11.959999999999994,buy,stop
2026-09-12T18:45:46,417,994,14.64,sell,market
